ClienteID,Nombre,Edad,Genero,Distrito,TipoCliente
1,Montserrat Navarrete,37,Masculino,Jesús María,Nuevo
2,Estefanía Pagès,21,Masculino,San Borja,Nuevo
3,Lorenzo Cazorla Oliver,38,Femenino,Pueblo Libre,Nuevo
4,Jacinta Castilla-Llamas,25,Femenino,Lince,Frecuente
5,Victoriano Garzón,47,Masculino,San Isidro,Nuevo
6,Ismael Colom-Gámez,30,Masculino,San Borja,Frecuente
7,Anastasia Luque-Arregui,67,Femenino,La Molina,Frecuente
8,Glauco Botella Tomás,65,Masculino,Lince,Frecuente
9,Chucho Barceló Sanjuan,41,Masculino,Miraflores,Nuevo
10,Hugo Rodrigo Parejo,49,Femenino,San Isidro,Frecuente
11,Abraham Bueno Montaña,23,Masculino,Surco,Nuevo
12,Nilo Villena Ferrera,54,Masculino,San Borja,VIP
13,Gema del Gimenez,38,Femenino,San Isidro,Nuevo
14,Imelda Castell Mascaró,43,Femenino,Jesús María,Nuevo
15,Leocadio España-Camino,37,Femenino,Barranco,Frecuente
16,Mireia Eulalia Andres Vélez,65,Femenino,Barranco,Nuevo
17,Hilario Álvaro Pineda,67,Masculino,San Borja,VIP
18,Inmaculada Molins,26,Femenino,San Isidro,Nuevo
19,Griselda Hoz Alba,25,Femenino,Miraflores,Nuevo
20,Eliana Millán Bernad,38,Femenino,Miraflores,Frecuente
21,Graciano Morera Nuñez,67,Masculino,Jesús María,Frecuente
22,Aroa Perea Porcel,70,Femenino,Pueblo Libre,Nuevo
23,Valentina Marti,43,Femenino,Miraflores,Frecuente
24,Consuela Armengol Torrents,41,Masculino,La Molina,VIP
25,Renata Abella,45,Femenino,Pueblo Libre,Nuevo
26,Hilario Montalbán Saldaña,63,Femenino,Barranco,Frecuente
27,Jose Manuel de Garzón,70,Femenino,San Miguel,Frecuente
28,Benito Neira Milla,25,Masculino,Lince,Frecuente
29,Encarnacion Agudo Baños,31,Masculino,Surco,Frecuente
30,Angelita Goñi Ricart,40,Masculino,Jesús María,Nuevo
31,José Luis Blanco Salvador,40,Masculino,Miraflores,Nuevo
32,Alcides Vega,24,Masculino,Lince,Nuevo
33,Abilio Ayala Gálvez,49,Masculino,San Isidro,VIP
34,Salvador Pellicer-Botella,24,Masculino,Lince,Frecuente
35,Raúl de Gabaldón,35,Femenino,San Isidro,Frecuente
36,María José Sola Ortega,38,Femenino,San Borja,Nuevo
37,Luis Miguel de Donaire,23,Femenino,Miraflores,Nuevo
38,Amando de Campo,21,Masculino,San Borja,Frecuente
39,Paula Sarmiento Sotelo,46,Masculino,Lince,Nuevo
40,Ernesto Nevado Lago,40,Masculino,Barranco,Frecuente
41,Maribel Bueno Rubio,26,Femenino,San Isidro,Nuevo
42,Tadeo Benítez-Tello,64,Masculino,Miraflores,Nuevo
43,Isidro Blanch Arenas,22,Masculino,San Miguel,Frecuente
44,Candelaria Luján Aguirre,56,Masculino,Barranco,Nuevo
45,Carla de Múgica,69,Femenino,San Borja,Nuevo
46,Cecilia Albero Valbuena,27,Masculino,Jesús María,Nuevo
47,Esther Monreal Santos,47,Femenino,Surco,Nuevo
48,Lupita Tudela-Salcedo,42,Femenino,Pueblo Libre,Nuevo
49,Martina Bustamante García,64,Femenino,San Miguel,Nuevo
50,Vinicio Cal Bermejo,34,Masculino,Surco,Nuevo
51,Jose Ramón Germán Jara Barreda,60,Femenino,San Isidro,Nuevo
52,Pastora Gonzalez,61,Femenino,Barranco,VIP
53,Dora Luján Urrutia,29,Femenino,Pueblo Libre,Nuevo
54,Vinicio Noriega-Plana,42,Masculino,San Borja,Frecuente
55,Federico Castrillo Diez,63,Femenino,Surco,Frecuente
56,Amarilis Aramburu Alcaraz,33,Masculino,Barranco,Nuevo
57,Manu Mercader Carranza,56,Masculino,San Isidro,Frecuente
58,Petrona Verdú-Gonzalez,33,Femenino,Barranco,Frecuente
59,Adelaida Dora Guijarro Rocha,60,Masculino,San Miguel,Nuevo
60,Pepe Royo Cañizares,20,Masculino,La Molina,Frecuente
61,Paulina Pujol Franco,56,Femenino,San Isidro,VIP
62,Florina Valenzuela-Palomino,34,Masculino,Surco,Frecuente
63,Amancio Hervás Baró,50,Masculino,Jesús María,Frecuente
64,Abel Nogués Bou,33,Masculino,Jesús María,Nuevo
65,Iris Rosalía Castillo Chacón,20,Masculino,Jesús María,Frecuente
66,Sara Guillén-Barroso,65,Masculino,Pueblo Libre,Nuevo
67,Carmen Fuertes Solano,43,Masculino,La Molina,VIP
68,Febe Alberdi Gutierrez,38,Femenino,Jesús María,Frecuente
69,Adalberto Fábregas Lluch,39,Femenino,Lince,Nuevo
70,Dan Ernesto Rosales Cano,51,Masculino,San Borja,VIP
71,Hugo Sevilla Daza,31,Masculino,La Molina,Frecuente
72,Lorena del Toro,64,Masculino,Lince,Frecuente
73,Hilario Lago Dominguez,45,Masculino,Jesús María,Nuevo
74,Martin Abad Ojeda,50,Masculino,San Borja,Nuevo
75,Nazaret Busquets Mate,56,Femenino,San Borja,Frecuente
76,Leocadio Gámez Moliner,39,Femenino,Pueblo Libre,Frecuente
77,Nadia Soraya Yuste Briones,23,Femenino,Lince,VIP
78,Ariel Bou Guardia,58,Masculino,Jesús María,Frecuente
79,Édgar Ariño Zamorano,55,Masculino,San Miguel,VIP
80,Amílcar Dominguez Pavón,36,Femenino,Miraflores,Frecuente
81,Leonardo Valcárcel Navarro,62,Femenino,San Borja,Nuevo
82,Zaida Goñi Ribas,39,Masculino,Lince,Nuevo
83,Olegario Olivé Gómez,26,Masculino,San Borja,Frecuente
84,Dan Luis Jaén Lobo,18,Femenino,San Isidro,Frecuente
85,Jose Miguel Tejada Gonzalez,53,Femenino,Miraflores,Nuevo
86,Fidela Uribe Corominas,61,Masculino,Lince,Nuevo
87,Montserrat Velázquez,38,Masculino,Miraflores,Nuevo
88,Tito Peñas-Cabrero,58,Femenino,San Miguel,Nuevo
89,Filomena Ayuso Cabo,44,Masculino,Miraflores,Frecuente
90,Rogelio Baró Adán,65,Femenino,Surco,Frecuente
91,Angelita Guzman Cañellas,52,Masculino,Barranco,Frecuente
92,Emperatriz de Bolaños,45,Masculino,Lince,Nuevo
93,Consuelo Tamarit Catalán,40,Masculino,Miraflores,Frecuente
94,Victor Flor Clavero,29,Masculino,Jesús María,Frecuente
95,Jerónimo Cabrero-Albero,63,Femenino,Barranco,Frecuente
96,Albano Cabo Mariño,67,Masculino,La Molina,Nuevo
97,Nazario Ocaña,35,Femenino,La Molina,Nuevo
98,Maricruz del Cortina,61,Masculino,San Miguel,Nuevo
99,Macaria Saturnina Raya Gimeno,38,Femenino,San Isidro,Nuevo
100,Paca Mancebo Vizcaíno,40,Femenino,Jesús María,Frecuente
101,Bienvenida Santos Losada,20,Femenino,La Molina,Frecuente
102,América Portillo-Rios,39,Femenino,San Miguel,VIP
103,Severino Aitor Tejada Verdugo,68,Femenino,Pueblo Libre,Nuevo
104,Severino Porta Carrillo,41,Femenino,Lince,Nuevo
105,Fátima Lobo-Villalonga,51,Femenino,Jesús María,Nuevo
106,Toni Márquez Verdejo,21,Masculino,Miraflores,Frecuente
107,Graciela Raquel Bernad Abella,61,Masculino,San Borja,Nuevo
108,Cristian Feijoo Villalba,66,Femenino,Surco,Frecuente
109,Asdrubal Alemán Rodrigo,70,Masculino,San Miguel,Nuevo
110,Hortensia Artigas Vizcaíno,56,Masculino,Surco,Nuevo
111,Dafne Rodríguez Sala,52,Femenino,Miraflores,Nuevo
112,Cipriano Gracia Ramirez,34,Femenino,Barranco,Frecuente
113,Remigio Pascual Roda,45,Femenino,Lince,Frecuente
114,Martín Gómez Martí,51,Masculino,Lince,Nuevo
115,Cruz Iglesia Cano,27,Femenino,Miraflores,Nuevo
116,Florentina de Barros,30,Femenino,La Molina,Frecuente
117,Guadalupe Lago Juárez,21,Masculino,Surco,Nuevo
118,Adelardo de Sedano,34,Masculino,San Isidro,VIP
119,Wálter Toni Hervás Tur,23,Masculino,Lince,Nuevo
120,Eric Guadalupe Roca Mascaró,32,Femenino,Surco,Nuevo
121,Heliodoro Vall Moreno,64,Masculino,Pueblo Libre,Nuevo
122,Perla Llamas Atienza,32,Masculino,Miraflores,Nuevo
123,Natalia del Bernat,54,Masculino,Barranco,Frecuente
124,Pili Villena Trillo,42,Femenino,Pueblo Libre,Nuevo
125,Baldomero Salmerón Dávila,65,Femenino,Lince,Frecuente
126,Abigaíl Ripoll Tolosa,21,Femenino,Lince,Frecuente
127,Milagros Aznar Mora,57,Femenino,La Molina,Nuevo
128,Donato Ferrera Villaverde,41,Masculino,San Miguel,Nuevo
129,Toribio Espejo-Seco,22,Femenino,Barranco,Nuevo
130,Sebastian del Roman,25,Femenino,La Molina,Nuevo
131,Luz Sanchez,31,Masculino,San Miguel,Nuevo
132,Nicolás Gomis Casado,62,Femenino,Pueblo Libre,Nuevo
133,Alejandro Barros Porras,33,Femenino,Barranco,Frecuente
134,Yago Espinosa Pinedo,64,Femenino,San Isidro,Nuevo
135,Loreto Carrera Collado,41,Masculino,San Isidro,VIP
136,Pili Arnau Zurita,67,Masculino,Miraflores,Nuevo
137,Joaquín Villaverde Costa,47,Masculino,San Miguel,Frecuente
138,Martirio Ángela Manzanares Alba,35,Femenino,Surco,Frecuente
139,Albano Reig Figueras,54,Masculino,Barranco,Nuevo
140,Rufina Osorio Solana,47,Femenino,Barranco,Nuevo
141,Graciano Español Aguilar,20,Masculino,Jesús María,Nuevo
142,Desiderio Marín-Cardona,21,Femenino,Barranco,Nuevo
143,Vanesa Rosa María Núñez Ruano,59,Femenino,San Borja,Nuevo
144,Toño del Menendez,41,Femenino,Barranco,Frecuente
145,Felix Terrón Sans,41,Femenino,San Isidro,VIP
146,Hernando Taboada Casal,40,Masculino,San Borja,Frecuente
147,Gabriela Cruz Taboada Bauzà,24,Femenino,Surco,Nuevo
148,Encarnacion Leticia Angulo Arnaiz,44,Masculino,Surco,Nuevo
149,Lilia Mate Rozas,70,Femenino,San Miguel,Nuevo
150,Judith Balaguer Castellanos,68,Masculino,La Molina,Frecuente
151,Itziar Morera Losa,28,Masculino,San Isidro,Frecuente
152,Montserrat del Cepeda,63,Masculino,Surco,Nuevo
153,Severo Pazos Hernandez,48,Masculino,San Borja,Frecuente
154,Custodia Alcaraz Carmona,35,Masculino,Surco,Frecuente
155,Áurea Agustí Pujadas,21,Femenino,Miraflores,Nuevo
156,Renato Piñeiro Huertas,34,Masculino,Pueblo Libre,Nuevo
157,Saturnina Carmona Segovia,65,Femenino,Pueblo Libre,VIP
158,Ágata de Saavedra,51,Femenino,Jesús María,Nuevo
159,Filomena Villanueva Criado,24,Femenino,Miraflores,Nuevo
160,Nélida Sanz,41,Femenino,Pueblo Libre,Nuevo
161,Íñigo Quero,46,Masculino,San Miguel,Nuevo
162,Estefanía Eliana Pedrosa Farré,66,Masculino,Surco,Nuevo
163,Angelina Gimeno,63,Masculino,San Miguel,Nuevo
164,Eva Pastora Marí Salvador,62,Femenino,Miraflores,Nuevo
165,Antonio Leiva Guitart,26,Masculino,San Borja,Nuevo
166,Jacinta del Cabezas,31,Masculino,Jesús María,Frecuente
167,Encarnación Alemany González,48,Masculino,Miraflores,VIP
168,Fidela Grande,24,Masculino,Miraflores,Nuevo
169,Adelina Luís-Pareja,59,Masculino,Lince,Frecuente
170,Baltasar Jose Francisco Rincón Clemente,62,Femenino,San Borja,Nuevo
171,Pastora Joaquina Cano Carvajal,55,Masculino,Jesús María,Frecuente
172,Galo Vega Parejo,52,Masculino,San Borja,VIP
173,Dan Reinaldo Guerra Carrillo,36,Femenino,Barranco,Frecuente
174,Sandalio de Sanmiguel,47,Masculino,Barranco,Frecuente
175,Ciríaco Larrea Caballero,67,Femenino,San Miguel,Nuevo
176,Iker Armando Sarabia Castillo,19,Masculino,San Miguel,Nuevo
177,Calisto Pastor Alfaro Pedrosa,51,Femenino,Miraflores,Frecuente
178,Régulo Bru Rivas,19,Femenino,San Isidro,Frecuente
179,Maristela Donaire Bravo,25,Masculino,Surco,Nuevo
180,Martirio Anabel Agudo Vendrell,55,Masculino,Miraflores,Nuevo
181,Jerónimo Adán,48,Masculino,Pueblo Libre,Frecuente
182,Ernesto Bernad,60,Femenino,San Miguel,VIP
183,Natanael Valentín Andrés,61,Femenino,Surco,Nuevo
184,César Garzón Bustamante,23,Femenino,La Molina,Nuevo
185,Joel Arce Colom,31,Femenino,Pueblo Libre,Nuevo
186,Hipólito Lobato Espinosa,62,Masculino,San Borja,Nuevo
187,Aurelia Serafina Bou Taboada,26,Femenino,Lince,Nuevo
188,Rosario María Luisa Rosa Granados,67,Femenino,Miraflores,Nuevo
189,Nieves del Llano,32,Femenino,Lince,Nuevo
190,Lorenza del Jerez,43,Masculino,Barranco,Frecuente
191,Abraham Jordán Adadia,66,Femenino,Lince,Nuevo
192,Arcelia Blanes,53,Femenino,San Miguel,Nuevo
193,Tadeo Casas Nogués,39,Masculino,San Borja,Nuevo
194,Erasmo de Pineda,35,Femenino,Miraflores,Nuevo
195,Heraclio del Ángel,32,Masculino,San Isidro,Nuevo
196,Manola Cuéllar Rosales,24,Masculino,San Isidro,Frecuente
197,Teófilo de Lloret,19,Masculino,San Miguel,Frecuente
198,Teo de Goicoechea,34,Masculino,San Isidro,Frecuente
199,Marcia Leal Fernández,70,Femenino,La Molina,Frecuente
200,Nereida Chaparro Vidal,40,Masculino,Miraflores,Frecuente
201,Zaira Fábregas Díaz,65,Femenino,Lince,Nuevo
202,Jessica Ileana Valera Arnal,49,Masculino,San Isidro,Nuevo
203,Toribio Manrique-Sarabia,59,Femenino,Miraflores,Nuevo
204,Calixto Riba Rosado,47,Femenino,San Miguel,Frecuente
205,Salomón Crespo-Isern,23,Masculino,San Borja,Nuevo
206,Marcelino Garcés-Recio,60,Femenino,San Isidro,Nuevo
207,Marta Adadia Lorenzo,19,Masculino,Lince,Nuevo
208,Prudencia Valcárcel,41,Femenino,Lince,Nuevo
209,Tomasa Vara Oliva,42,Masculino,Pueblo Libre,Frecuente
210,Sabas Lasa Escudero,55,Masculino,La Molina,Nuevo
211,Ale Hierro Fabregat,47,Masculino,Miraflores,Nuevo
